vendor_name,model_name,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP
siemens,7.875-2,26,8000,24000,32,8,16,173
siemens,7.880-2,26,8000,32000,64,12,16,248
siemens,7.881-2,26,8000,32000,128,24,32,405
sperry,1100/61-h1,116,2000,8000,32,5,28,70
sperry,1100/81,50,2000,32000,24,6,26,114
sperry,1100/82,50,2000,32000,48,26,52,208
sperry,1100/83,50,2000,32000,112,52,104,307
sperry,1100/84,50,4000,32000,112,52,104,397
sperry,1100/93,30,8000,64000,96,12,176,915
sperry,1100/94,30,8000,64000,128,12,176,1150
sperry,80/3,180,262,4000,0,1,3,12
sperry,80/4,180,512,4000,0,1,3,14
sperry,80/5,180,262,4000,0,1,3,18
sperry,80/6,180,512,4000,0,1,3,21
sperry,80/8,124,1000,8000,0,1,8,42
sperry,90/80-model-3,98,1000,8000,32,2,8,46
sratus,32,125,2000,8000,0,2,14,52
wang,vs-100,480,512,8000,32,0,0,67
wang,vs-90,480,1000,4000,0,0,0,45
